1.84329 1.52827 
0.58129 9.38575 
8.50955 4.85444 
2.78384 4.86417 
3.55186 1.47914 
7.57803 1.04185 
5.43399 5.73924 
8.63518 9.62731 
4.05278 2.07618 
7.03814 2.46806 
6.85582 0.633125 
0.903481 1.82477 
1.74126 4.50292 
8.35427 3.57307 
0.443322 9.06778 
7.10479 6.32687 
5.49407 5.27573 
2.47399 9.54637 
7.33094 9.68517 
5.08483 2.71119 
9.04474 4.04892 
5.68908 6.80272 
3.43496 4.49195 
6.72197 4.49882 
6.49988 0.277155 
8.08574 6.42804 
6.23944 0.731446 
1.4595 5.61651 
1.38185 9.25655 
4.59464 8.90764 
5.50956 4.05414 
3.64488 3.573 
